ROC AUC scores,Cohort 1,Cohort 2,Cohort 3,Cohort 4,Cohort 5,Cohort 6,Cohort 7
F1 score $ \pm $ std,,,,,,,
SVM ,0.437 $ \pm $ 0.102,0.757 $ \pm $ 0.057,0.361 $ \pm $ 0.068,0.767 $ \pm $ 0.075,0.282 $ \pm $ 0.015,0.785 $ \pm $ 0.080,0.422 $ \pm $ 0.078
DT  ,0.414 $ \pm $ 0.086,0.815 $ \pm $ 0.081,0.436 $ \pm $ 0.112,0.777 $ \pm $ 0.044,0.382 $ \pm $ 0.110,0.759 $ \pm $ 0.041,0.513 $ \pm $ 0.035
kNN ,0.404 $ \pm $ 0.069,0.818 $ \pm $ 0.095,0.372 $ \pm $ 0.109,0.741 $ \pm $ 0.064,0.285 $ \pm $ 0.099,0.763 $ \pm $ 0.037,0.450 $ \pm $ 0.114
GNB ,0.433 $ \pm $ 0.135,0.790 $ \pm $ 0.087,0.369 $ \pm $ 0.116,0.749 $ \pm $ 0.074,0.214 $ \pm $ 0.018,0.688 $ \pm $ 0.087,0.436 $ \pm $ 0.058
F2 score $ \pm $ std,,,,,,,
SVM ,0.551 $ \pm $ 0.088,0.472 $ \pm $ 0.082,0.588 $ \pm $ 0.171,0.587 $ \pm $ 0.095,0.479 $ \pm $ 0.122,0.586 $ \pm $ 0.103,0.479 $ \pm $ 0.088
DT  ,0.502 $ \pm $ 0.176,0.482 $ \pm $ 0.066,0.585 $ \pm $ 0.106,0.502 $ \pm $ 0.095,0.573 $ \pm $ 0.127,0.517 $ \pm $ 0.071,0.559 $ \pm $ 0.072
kNN ,0.508 $ \pm $ 0.094,0.505 $ \pm $ 0.071,0.512 $ \pm $ 0.095,0.571 $ \pm $ 0.085,0.491 $ \pm $ 0.086,0.579 $ \pm $ 0.027,0.569 $ \pm $ 0.049
GNB ,0.571 $ \pm $ 0.135,0.488 $ \pm $ 0.076,0.463 $ \pm $ 0.056,0.555 $ \pm $ 0.063,0.469 $ \pm $ 0.090,0.548 $ \pm $ 0.025,0.467 $ \pm $ 0.082
F3 score $ \pm $ std,,,,,,,
SVM ,0.522 $ \pm $ 0.136,0.800 $ \pm $ 0.047,0.425 $ \pm $ 0.113,0.786 $ \pm $ 0.064,0.515 $ \pm $ 0.161,0.746 $ \pm $ 0.087,0.503 $ \pm $ 0.071
DT  ,0.467 $ \pm $ 0.155,0.709 $ \pm $ 0.044,0.607 $ \pm $ 0.104,0.792 $ \pm $ 0.065,0.622 $ \pm $ 0.074,0.750 $ \pm $ 0.071,0.565 $ \pm $ 0.054
kNN ,0.480 $ \pm $ 0.048,0.839 $ \pm $ 0.096,0.452 $ \pm $ 0.076,0.803 $ \pm $ 0.071,0.447 $ \pm $ 0.112,0.787 $ \pm $ 0.055,0.560 $ \pm $ 0.046
GNB ,0.531 $ \pm $ 0.129,0.745 $ \pm $ 0.094,0.421 $ \pm $ 0.083,0.775 $ \pm $ 0.066,0.413 $ \pm $ 0.048,0.647 $ \pm $ 0.064,0.453 $ \pm $ 0.080
F4 score $ \pm $ std,,,,,,,
SVM ,0.490 $ \pm $ 0.102,0.549 $ \pm $ 0.072,0.354 $ \pm $ 0.194,0.514 $ \pm $ 0.061,0.498 $ \pm $ 0.122,0.470 $ \pm $ 0.133,0.455 $ \pm $ 0.088
DT  ,0.447 $ \pm $ 0.086,0.559 $ \pm $ 0.125,0.501 $ \pm $ 0.090,0.468 $ \pm $ 0.082,0.404 $ \pm $ 0.101,0.522 $ \pm $ 0.083,0.517 $ \pm $ 0.078
kNN ,0.524 $ \pm $ 0.129,0.534 $ \pm $ 0.097,0.386 $ \pm $ 0.095,0.469 $ \pm $ 0.059,0.465 $ \pm $ 0.108,0.493 $ \pm $ 0.107,0.561 $ \pm $ 0.089
GNB ,0.453 $ \pm $ 0.105,0.539 $ \pm $ 0.085,0.317 $ \pm $ 0.108,0.499 $ \pm $ 0.062,0.483 $ \pm $ 0.099,0.457 $ \pm $ 0.048,0.463 $ \pm $ 0.079
F5 score $ \pm $ std,,,,,,,
SVM ,0.457 $ \pm $ 0.163,0.494 $ \pm $ 0.121,0.541 $ \pm $ 0.082,0.45 $ \pm $ 0.082,0.482 $ \pm $ 0.125,0.459 $ \pm $ 0.139,0.475 $ \pm $ 0.116
DT ,0.511 $ \pm $ 0.159,0.508 $ \pm $ 0.182,0.527 $ \pm $ 0.094,0.46 $ \pm $ 0.071,0.465 $ \pm $ 0.126,0.453 $ \pm $ 0.09,0.406 $ \pm $ 0.099
kNN ,0.531 $ \pm $ 0.191,0.456 $ \pm $ 0.104,0.489 $ \pm $ 0.108,0.574 $ \pm $ 0.076,0.478 $ \pm $ 0.142,0.471 $ \pm $ 0.119,0.452 $ \pm $ 0.064
GNB ,0.48 $ \pm $ 0.214,0.521 $ \pm $ 0.114,0.374 $ \pm $ 0.062,0.403 $ \pm $ 0.104,0.468 $ \pm $ 0.128,0.449 $ \pm $ 0.091,0.519 $ \pm $ 0.102
