ROC AUC scores,Cohort 1,Cohort 2,Cohort 3,Cohort 4,Cohort 5,Cohort 6,Cohort 7
\textbf{F1 score $ \pm $ std},,,,,,,
SVM ROC AUC score:,0.326 $ \pm $ 0.155,0.851 $ \pm $ 0.077,0.478 $ \pm $ 0.090,0.824 $ \pm $ 0.020,0.539 $ \pm $ 0.155,0.824 $ \pm $ 0.086,0.401 $ \pm $ 0.102
Decision Tree ROC AUC score:,0.376 $ \pm $ 0.071,0.805 $ \pm $ 0.051,0.431 $ \pm $ 0.112,0.777 $ \pm $ 0.024,0.495 $ \pm $ 0.135,0.790 $ \pm $ 0.114,0.512 $ \pm $ 0.051
kNN ROC AUC score:,0.437 $ \pm $ 0.122,0.833 $ \pm $ 0.044,0.561 $ \pm $ 0.059,0.809 $ \pm $ 0.059,0.523 $ \pm $ 0.076,0.813 $ \pm $ 0.119,0.393 $ \pm $ 0.054
GNB ROC AUC score:,0.355 $ \pm $ 0.110,0.867 $ \pm $ 0.057,0.516 $ \pm $ 0.122,0.789 $ \pm $ 0.074,0.557 $ \pm $ 0.173,0.731 $ \pm $ 0.202,0.449 $ \pm $ 0.088
\textbf{F2 score $ \pm $ std},,,,,,,
SVM ROC AUC score:,0.422 $ \pm $ 0.157,0.514 $ \pm $ 0.071,0.535 $ \pm $ 0.101,0.583 $ \pm $ 0.101,\textbf{0.609 $ \pm $ 0.115},0.586 $ \pm $ 0.103,0.527 $ \pm $ 0.093
Decision Tree ROC AUC score:,0.422 $ \pm $ 0.087,0.487 $ \pm $ 0.082,0.458 $ \pm $ 0.102,0.558 $ \pm $ 0.062,0.528 $ \pm $ 0.064,0.517 $ \pm $ 0.071,0.571 $ \pm $ 0.093
kNN ROC AUC score:,0.384 $ \pm $ 0.111,0.512 $ \pm $ 0.057,0.548 $ \pm $ 0.099,0.500 $ \pm $ 0.026,0.585 $ \pm $ 0.070,0.579 $ \pm $ 0.027,0.569 $ \pm $ 0.082
GNB ROC AUC score:,0.406 $ \pm $ 0.165,0.540 $ \pm $ 0.080,0.463 $ \pm $ 0.056,0.535 $ \pm $ 0.059,\textbf{0.657 $ \pm $ 0.133},0.548 $ \pm $ 0.025,0.546 $ \pm $ 0.095
